model,task,downloads,likes,last_modified,library,license,tags,arxiv
AlperKTS/Krea2_FP8,text-to-image,44070,86,2026-07-02T17:55:27.000Z,diffusers,license:other,diffusers|krea2|text-to-image|image-generation|dit|fp8|comfyui|krea|license:other|region:us,False
zai-org/GLM-Image,text-to-image,42587,1088,2026-01-15T09:55:29.000Z,diffusers,license:mit,diffusers|safetensors|text-to-image|zh|en|license:mit|deploy:azure|region:us,False
SG161222/Realistic_Vision_V6.0_B1_noVAE,text-to-image,40781,313,2024-10-08T16:36:37.000Z,diffusers,license:creativeml-openrail-m,diffusers|license:creativeml-openrail-m|endpoints_compatible|diffusers:StableDiffusionPipeline|region:us,False
John6666/prefect-illustrious-xl-v3-sdxl,text-to-image,39594,1,2025-08-14T00:03:05.000Z,diffusers,license:other,diffusers|safetensors|text-to-image|stable-diffusion|stable-diffusion-xl|anime|girls|styles|lighting|texture|clean|color balance|prompt understanding|merge|noobai|Illustrious XL v1.0|illustrious|en|base_model:Laxhar/noobai-XL-1.1|base_model:merge:Laxhar/noobai-XL-1.1|base_model:OnomaAIResearch/Illustrious-XL-v1.0|base_model:merge:OnomaAIResearch/Illustrious-XL-v1.0|license:other|endpoints_compatible|diffusers:StableDiffusionXLPipeline|region:us,False
wikeeyang/Real-Qwen-Image-V2,text-to-image,39282,43,2026-01-18T09:08:31.000Z,diffusers,license:apache-2.0,diffusers|gguf|text-to-image|en|zh|base_model:Qwen/Qwen-Image-2512|base_model:finetune:Qwen/Qwen-Image-2512|license:apache-2.0|region:us,False
jayn7/Z-Image-Turbo-GGUF,text-to-image,37378,374,2025-12-05T13:03:35.000Z,gguf,license:apache-2.0,gguf|text-to-image|image-generation|base_model:Tongyi-MAI/Z-Image-Turbo|base_model:quantized:Tongyi-MAI/Z-Image-Turbo|license:apache-2.0|region:us,False
John6666/prefect-pony-xl-v50-sdxl,text-to-image,34372,1,2025-01-06T01:36:36.000Z,diffusers,license:other,diffusers|safetensors|text-to-image|stable-diffusion|stable-diffusion-xl|anime|girls|animagine|pony|en|license:other|endpoints_compatible|diffusers:StableDiffusionXLPipeline|region:us,False
stablediffusionapi/revanimated,text-to-image,34115,1,2025-01-20T11:23:05.000Z,diffusers,license:creativeml-openrail-m,diffusers|stablediffusionapi.com|stable-diffusion-api|text-to-image|ultra-realistic|license:creativeml-openrail-m|endpoints_compatible|diffusers:StableDiffusionPipeline|region:us,False
optimum-intel-internal-testing/tiny-random-stable-diffusion-with-safety-checker,text-to-image,34036,0,2025-11-20T10:55:14.000Z,diffusers,,diffusers|safetensors|arxiv:1910.09700|endpoints_compatible|diffusers:StableDiffusionPipeline|region:us,True
monadical-labs/minecraft-skin-generator-sdxl,text-to-image,32659,30,2024-07-22T19:37:26.000Z,diffusers,license:openrail,diffusers|safetensors|minecraft|skins|gaming|stable diffusion|stable diffusion xl|text-to-image|en|license:openrail|endpoints_compatible|diffusers:StableDiffusionXLPipeline|region:us,False
stablediffusionapi/juggernaut-xl-v9,text-to-image,32509,5,2025-06-23T07:58:00.000Z,diffusers,license:creativeml-openrail-m,diffusers|safetensors|modelslab.com|stable-diffusion-api|text-to-image|ultra-realistic|license:creativeml-openrail-m|endpoints_compatible|diffusers:StableDiffusionXLPipeline|region:us,False
XLabs-AI/flux-ip-adapter,text-to-image,32183,427,2024-11-07T16:40:32.000Z,diffusers,license:other,diffusers|Stable Diffusion|image-generation|Flux|controlnet|text-to-image|en|license:other|region:us,False
stabilityai/stable-diffusion-3-medium-diffusers,text-to-image,31960,453,2024-06-19T13:47:26.000Z,diffusers,license:other,diffusers|safetensors|text-to-image|stable-diffusion|en|arxiv:2403.03206|license:other|region:us,True
nunchaku-ai/nunchaku-qwen-image-edit-2509,text-to-image,31794,293,2025-11-16T02:24:17.000Z,diffusers,license:apache-2.0,diffusers|image-editing|SVDQuant|Qwen-Image-Edit-2509|Diffusion|Quantization|ICLR2025|text-to-image|en|dataset:mit-han-lab/svdquant-datasets|arxiv:2411.05007|base_model:Qwen/Qwen-Image-Edit-2509|base_model:quantized:Qwen/Qwen-Image-Edit-2509|license:apache-2.0|region:us,True
Phil2Sat/Qwen-Image-Edit-Rapid-AIO-GGUF,text-to-image,30982,239,2025-11-07T19:24:03.000Z,comfyUI,license:apache-2.0,comfyUI|gguf|qwen|qwen-edit|t2i|i2i|text-to-image|base_model:Phr00t/Qwen-Image-Edit-Rapid-AIO|base_model:quantized:Phr00t/Qwen-Image-Edit-Rapid-AIO|license:apache-2.0|endpoints_compatible|region:us|conversational,False
